id,name,mana,attack,health,type,god,strategy
1118,Firewine,5,0,0,spell,nature,early
1036,Leyhoard Hatchling,10,2,1,creature,magic,late
244,Aetherfuel Alchemist,6,4,4,creature,neutral,late
215,Millenium Matryoshka,4,2,2,creature,neutral,late
87013,Poison Peddler,4,1,3,creature,neutral,late
230,Canopic Hoarder,5,2,1,creature,death,late
87047,Escaped Silverback,5,5,4,creature,nature,late
100053,Rune of Fire,2,0,0,spell,neutral,early
1073,Dwarf Atlant,3,1,5,creature,neutral,late
273,Rampaging Leviathan,7,5,5,creature,nature,late
849,Fevered Dreams,3,0,0,spell,deception,early
1100,Lightning Strike,3,0,0,spell,nature,early
934,Port Authority,6,7,3,creature,deception,late
1206,Viking Warmaiden,2,3,1,creature,neutral,early
286,Rebel Quartermaster,3,1,2,creature,nature,early
1120,Vault Vagabond,3,1,3,creature,deception,early
1233,Fickle Cambion,3,3,3,creature,death,late
106,Underbrush Boar,2,3,3,creature,nature,late
255,Master of Indulgences,4,2,2,creature,light,late
306,Blood Rage,2,0,0,spell,war,early
145,Dread Queen Persephone,6,3,7,creature,death,late
1035,Rune Viper Tincture,5,0,0,spell,magic,early
1217,Wetlands Ogre,4,4,5,creature,neutral,late
1038,Choralis Rune Moth,3,1,1,creature,magic,early
896,Foreign Diplomat,2,2,3,creature,neutral,early
87021,Juggernewt,7,6,7,creature,neutral,late
832,Selena's Bow,3,0,4,weapon,nature,early
344,Spellstealer,5,3,3,creature,deception,late
133,"Nemris, the Unstable",6,5,5,creature,neutral,late
1009,Netherwarp,4,0,0,spell,death,early
1034,Dreaming Sceptre,3,0,4,weapon,death,early
228,Empire's Footman,2,1,1,creature,neutral,early
1131,Blight Bomb,1,0,0,spell,death,early
122,Tomb Robber,3,1,2,creature,neutral,early
1045,Marsh Walker,1,1,4,creature,nature,early
1127,Cardshark,1,1,1,creature,neutral,early
18,Levitate,1,0,0,spell,magic,early
100069,"Heptaria, Manashard Fiend",1,5,5,creature,neutral,late
100132,Ancient Guardian,2,2,2,creature,neutral,early
858,"Eris, Queen of Chaos",9,8,7,creature,deception,late
124,Fusing Fleshspawn,1,3,1,creature,death,early
1200,Cursed Caipora,5,1,2,creature,neutral,late
112,Rift Scholar,5,2,2,creature,magic,late
1146,Judge Envoy,7,6,7,creature,neutral,late
82,"Light, Ascended",6,0,0,spell,light,early
830,Lysander's Spear,3,0,3,weapon,light,early
875,Parthene Democracy,3,0,0,spell,light,early
100000,Promethean Flame,1,0,0,spell,neutral,early
1087,Burnished Bull,7,10,10,creature,neutral,late
1188,Thaeric Blessing,1,0,0,spell,light,early
100111,Flourish,2,0,0,god power,nature,early
1069,"Amplureal, Sentient Shard",4,4,2,creature,neutral,late
860,Bloodthirsty Spear,1,2,1,weapon,war,early
1255,Umber Arrow,2,0,0,spell,deception,early
1155,Carthaginian Marine,4,3,3,creature,neutral,late
1105,Amazon Flanker,6,2,2,creature,neutral,late
100137,Hyena,1,1,1,creature,neutral,early
100117,Heal,2,0,0,god power,light,early
818,"Majes, Spectral Philosopher",5,2,2,creature,magic,late
1212,Thanakris Spell-Locusts,3,1,3,creature,death,early
150,Nephthys Guardian,6,5,6,creature,neutral,late
123,Friendly Mimic,4,2,2,creature,neutral,late
1013,Dust to Dust,4,0,0,spell,death,early
100065,Skeletal Guard,1,2,1,creature,neutral,early
354,Sucella,7,4,4,creature,nature,late
259,Warden of Kauket,8,3,12,creature,neutral,late
1055,Radiant Embalmer,4,2,2,creature,light,late
260,Avatar of War,8,8,8,creature,war,late
87062,Possessed Acolyte,2,2,2,creature,death,early
1084,Skeleton Heavy,2,2,4,creature,neutral,late
383,Aetherrust,4,0,0,spell,death,early
1130,Brimstone,1,0,0,spell,death,early
918,Trial of the Underworld,8,0,0,spell,death,late
809,Deathwatch Curate,5,5,6,creature,death,late
320,Pyroclastic Alchemist,7,7,7,creature,neutral,late
342,Avatar of Deception,4,4,4,creature,deception,late
906,Guardian of the Underworld,8,13,17,creature,death,late
100056,Rune of Sight,2,0,0,spell,neutral,early
131,"Lara Grim, Spellthief",1,1,1,creature,neutral,early
271,Revenant Lynx,3,4,2,creature,nature,late
1221,Ranger Firstbow,2,2,2,creature,neutral,early
100136,Bodyguard,1,1,1,creature,neutral,early
348,Reap,6,0,0,spell,death,early
87012,Radiant Spirit,4,3,4,creature,light,late
367,Avatar of Nature,5,5,5,creature,nature,late
221,Sit Down,1,0,0,spell,light,early
100122,Intense Training,2,0,0,god power,war,early
266,Bonded Warrior,2,2,2,creature,neutral,early
203,Ares Peacemaker,4,0,7,creature,death,late
